Transect.Label;Sample.Label;x;y
30;30-43;3462978,949;-1563454,740
30;30-44;3462651,495;-1563463,020
30;30-45;3462438,288;-1563193,530
30;30-46;3462205,381;-1563310,730
30;30-47;3461934,306;-1563402,030
30;30-48;3461631,905;-1563586,140
31;31-1;3461471,217;-1563299,927
31;31-2;3461561,950;-1562888,775
31;31-3;3461625,363;-1562527,235
31;31-4;3461785,880;-1562263,236
31;31-5;3462010,199;-1561973,992
31;31-6;3461854,128;-1561708,713
31;31-7;3461501,001;-1561628,681
31;31-8;3461176,878;-1561616,150
31;31-9;3460857,538;-1561742,593
32;32-1;3461429,024;-1561386,381
32;32-2;3461488,275;-1561046,334
32;32-3;3461484,841;-1560718,566
32;32-4;3461241,035;-1560421,841
32;32-5;3461308,301;-1560086,971
32;32-6;3461260,393;-1559711,915
32;32-7;3461524,516;-1559839,651
32;32-8;3461680,721;-1560196,346
32;32-9;3461986,573;-1560414,940
32;32-10;3462344,790;-1560446,455
32;32-11;3462696,886;-1560515,548
32;32-12;3463058,816;-1560451,449
32;32-13;3463379,605;-1560668,400
32;32-14;3463677,418;-1560866,569
32;32-15;3464011,651;-1560986,074
32;32-16;3464145,084;-1560706,590
32;32-17;3464385,953;-1560532,304
32;32-18;3464672,648;-1560740,225
32;32-19;3465005,850;-1560931,855
32;32-20;3465328,521;-1561160,413
32;32-21;3465694,954;-1561188,525
